parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,30-60%,renter,801.7779652118054,30531557.54547987
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,60-80%,owner,583.1052385090597,33268589.807122033
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,60-80%,renter,485.34291220547954,26094991.19850076
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,80-100%,owner,972.2208615076295,66737282.032352686
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,80-100%,renter,475.8201859011526,30939271.673076708
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,0-30%,owner,315.46886728388233,4351641.55284039
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,0-30%,renter,786.6872880401037,10252916.080328442
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,100%+,owner,7080.468301831928,1014766014.6130446
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,100%+,renter,1724.2224828086148,177761521.7890101
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,30-60%,owner,633.5821805871667,25561499.923352137
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,30-60%,renter,797.7437172557369,29293332.113895703
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,60-80%,owner,580.1712702301901,31919362.408200186
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,60-80%,renter,482.90084752359456,25036693.347471792
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,80-100%,owner,967.3290084091867,64030711.9622156
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,80-100%,renter,473.42603602959707,29684511.15313832
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,0-30%,owner,314.07863459320777,4077077.886103953
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,0-30%,renter,783.2204534374127,9606015.77855186
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,100%+,owner,7049.265544541669,950740089.1160741
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,100%+,renter,1716.6240453392222,166545787.53461528
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,30-60%,owner,630.7900614558405,23948715.630110472
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,30-60%,renter,794.2281583225914,27445090.57597084
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,60-80%,owner,577.614526444318,29905433.393995352
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,60-80%,renter,480.7727625865233,23457021.344397284
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,80-100%,owner,963.0661078519724,59990740.64412403
